2022-09-16 10:11:47 INFO  TestBase:105 - Clicked webelement..[[ChromeDriver: chrome on WINDOWS (0f799d0b0af2ded9c70e5270978a0c82)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:11:47 INFO  TestBase:19 - Test execution has pass successfully..testSomthing
2022-09-16 10:11:48 INFO  TestBase:40 - Navigating to URl..data:,
2022-09-16 10:11:53 INFO  TestBase:46 - Navigated to URl..https://naveenautomationlabs.com/opencart/index.php?route=common/home
2022-09-16 10:11:53 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:11:53 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:11:53 INFO  TestBase:100 - Clicking webelement..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:11:53 INFO  TestBase:105 - Clicked webelement..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:11:53 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:11:53 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> css selector: #top-links ul.dropdown-menu li:last-of-type a]
2022-09-16 10:11:53 INFO  TestBase:100 - Clicking webelement..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> css selector: #top-links ul.dropdown-menu li:last-of-type a]
2022-09-16 10:11:54 INFO  TestBase:105 - Clicked webelement..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> css selector: #top-links ul.dropdown-menu li:last-of-type a]
2022-09-16 10:11:54 INFO  TestBase:14 - Test execution has started..verifyCustomerCanLogin
2022-09-16 10:11:54 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:11:54 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> id: input-email]
2022-09-16 10:11:54 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:11:54 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> id: input-password]
2022-09-16 10:11:54 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:11:54 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> xpath: //input[@type='submit']]
2022-09-16 10:11:55 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:11:55 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> css selector: #content h2]
2022-09-16 10:11:55 INFO  TestBase:165 - Getting text from..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> css selector: #content h2]
2022-09-16 10:11:55 INFO  TestBase:171 - Got text from..[[ChromeDriver: chrome on WINDOWS (792b8996baf4ba51cfeb0ab50af1ed5b)] -> css selector: #content h2]New Customer
2022-09-16 10:11:55 INFO  TestBase:19 - Test execution has pass successfully..verifyCustomerCanLogin
2022-09-16 10:20:08 INFO  TestBase:40 - Navigating to URl..data:,
2022-09-16 10:20:11 INFO  TestBase:46 - Navigated to URl..https://naveenautomationlabs.com/opencart/index.php?route=common/home
2022-09-16 10:20:11 INFO  TestBase:14 - Test execution has started..testSomthing
2022-09-16 10:20:11 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:20:11 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (82fa551aff0dfc7f3625c15881960543)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:20:11 INFO  TestBase:100 - Clicking webelement..[[ChromeDriver: chrome on WINDOWS (82fa551aff0dfc7f3625c15881960543)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:20:11 INFO  TestBase:105 - Clicked webelement..[[ChromeDriver: chrome on WINDOWS (82fa551aff0dfc7f3625c15881960543)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:20:11 INFO  TestBase:19 - Test execution has pass successfully..testSomthing
2022-09-16 10:20:13 INFO  TestBase:40 - Navigating to URl..data:,
2022-09-16 10:20:19 INFO  TestBase:46 - Navigated to URl..https://naveenautomationlabs.com/opencart/index.php?route=common/home
2022-09-16 10:20:19 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:20:19 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (c045c055cc1b1510641abc073b4db93d)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:20:19 INFO  TestBase:100 - Clicking webelement..[[ChromeDriver: chrome on WINDOWS (c045c055cc1b1510641abc073b4db93d)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:20:19 INFO  TestBase:105 - Clicked webelement..[[ChromeDriver: chrome on WINDOWS (c045c055cc1b1510641abc073b4db93d)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:20:19 INFO  TestBase:89 - Finding webelement..null
